record_id,tool_name,vendor,product,version,control_domain,control_objective,current_control_id,current_control_name,framework_alignment,deployment_scope,environment,coverage_level,effectiveness_score,operational_status,annual_cost_usd,utilization_percent,license_count,eol_date,notes
TM-0001,Adaptive MFA,Okta,Adaptive MFA,v1,Identity,Identity and privileged access governance,PR.AA,Identity and Access Management,NIST-CSF-2.0,BU-specific,Hybrid,Covered,81.4,Active,274058,40,10617,,
TM-0002,Entra ID P2,Microsoft,Entra ID P2,v1,Identity,Identity and privileged access governance,PR.AA,Identity and Access Management,NIST-CSF-2.0,Regional,Hybrid,Partial,36.7,Active,224751,69,5604,,
TM-0003,PAM,CyberArk,PAM,v3,Identity,Identity and privileged access governance,PR.AA,Privileged Access Management,NIST-CSF-2.0,Regional,On-Prem,Covered,44.8,Planned,160996,40,2526,,
TM-0004,IdentityIQ,SailPoint,IdentityIQ,v3,Identity,Identity lifecycle and provisioning,CIS-5,Account Management,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Partial,68.8,Planned,169531,69,20755,,
TM-0005,PingFederate,Ping Identity,PingFederate,v3,Identity,Identity lifecycle and provisioning,CIS-5,Access Governance,NIST-CSF-2.0;CIS-v8.1,Regional,Production,Covered,49.4,Active,108737,49,2632,,
TM-0006,Falcon Insight XDR,CrowdStrike,Falcon Insight XDR,v3,Endpoint,Endpoint detection and response,CIS-10,Malware Defenses,CIS-v8.1,BU-specific,Hybrid,Covered,48.2,Active,336670,75,15275,,
TM-0007,Singularity Complete,SentinelOne,Singularity Complete,v2,Endpoint,Endpoint detection and response,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,Regional,Hybrid,Partial,52,Planned,276535,48,8188,,
TM-0008,Defender for Endpoint,Microsoft,Defender for Endpoint,v1,Endpoint,Endpoint protection and hardening,PR.PS,Platform Security,NIST-CSF-2.0,Enterprise-wide,Cloud,Covered,39.2,Planned,247257,80,5410,,
TM-0009,VMDR,Qualys,VMDR,Latest,Endpoint,Endpoint vulnerability and patch assurance,CIS-7,Continuous Vulnerability Management,CIS-v8.1,HQ + Branches,Hybrid,Covered,50.5,Active,173583,71,22457,,
TM-0010,Nessus / Tenable.sc,Tenable,Nessus / Tenable.sc,Latest,Endpoint,Endpoint vulnerability and patch assurance,CIS-7,Continuous Vulnerability Management,CIS-v8.1,Regional,Hybrid,Partial,40.7,Active,136535,74,19826,,
TM-0011,NGFW + Panorama,Palo Alto,NGFW + Panorama,Latest,Network,Perimeter and east-west threat prevention,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,On-Prem,Covered,97.8,Active,486137,89,405,,
TM-0012,FortiGate + FortiManager,Fortinet,FortiGate + FortiManager,v1,Network,Perimeter and east-west threat prevention,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,BU-specific,Cloud,Covered,62.4,Active,480251,90,6673,,
TM-0013,Quantum Security Gateway,Check Point,Quantum Security Gateway,v2,Network,Perimeter and east-west threat prevention,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Cloud,Partial,67,Active,282504,45,23843,,
TM-0014,ZIA + ZPA,Zscaler,ZIA + ZPA,v1,Network,Secure access service edge and zero trust,PR.AC,Access Control,NIST-CSF-2.0;CIS-v8.1,BU-specific,On-Prem,Covered,93.5,Under Review,438597,54,1561,,
TM-0015,SSE,Netskope,SSE,v1,Network,Secure access service edge and zero trust,PR.AC,Access Control,NIST-CSF-2.0,HQ + Branches,Production,Missing,68.6,Active,379975,94,4228,,
